Record Length,9000,,Source,CH1,CH2
Sample Interval,CH1:0.0000002000000 CH2:0.0000002000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00090000000,-9.80000,8.40000
Vertical Scale,CH1:5.00 CH2:5.00,,-0.00089980000,-9.80000,8.40000
Vertical Offset,CH1:4.40000 CH2:-10.00000,,-0.00089960000,-10.00000,8.40000
Horizontal Units,s,,-0.00089940006,-9.80000,8.60000
Horizontal Scale,0.0001000000,,-0.00089920006,-9.80000,8.40000
Model Number,SDS1072CML,,-0.00089900006,-10.00000,8.60000
Serial Number,SDS100P2150690,,-0.00089880006,-9.80000,8.60000
Software Version,5.01.02.29,,-0.00089860006,-10.00000,8.60000
,,,-0.00089840000,-10.00000,8.40000
,,,-0.00089820000,-9.80000,8.40000
,,,-0.00089800000,-9.80000,8.40000
,,,-0.00089780000,-9.80000,8.40000
,,,-0.00089760000,-10.00000,8.40000
,,,-0.00089740000,-9.80000,8.40000
,,,-0.00089720000,-10.00000,8.60000
,,,-0.00089700000,-10.00000,8.40000
,,,-0.00089680000,-10.00000,8.60000
,,,-0.00089660000,-9.80000,8.40000
,,,-0.00089640000,-10.00000,8.40000
,,,-0.00089620000,-9.80000,8.40000
,,,-0.00089600000,-9.80000,8.40000
,,,-0.00089580000,-9.80000,8.40000
,,,-0.00089560000,-10.00000,8.40000
,,,-0.00089540000,-9.80000,8.40000
,,,-0.00089520000,-10.00000,8.40000
,,,-0.00089500000,-10.00000,8.60000
,,,-0.00089480000,-10.00000,8.60000
,,,-0.00089460000,-10.00000,8.40000
,,,-0.00089440000,-9.80000,8.60000
,,,-0.00089420000,-10.00000,8.60000
,,,-0.00089400000,-9.80000,8.60000
,,,-0.00089380000,-10.00000,8.40000
,,,-0.00089360000,-9.80000,8.60000
,,,-0.00089340000,-9.80000,8.40000
,,,-0.00089320000,-9.80000,8.40000
,,,-0.00089300000,-10.00000,-7.20000
,,,-0.00089280000,-10.00000,-7.40000
,,,-0.00089260000,-10.00000,-7.20000
,,,-0.00089240000,-10.00000,-7.20000
,,,-0.00089220000,-10.00000,-7.20000
,,,-0.00089200000,-9.80000,-7.40000
,,,-0.00089180006,-9.80000,-7.20000
,,,-0.00089160006,-9.60000,-7.20000
,,,-0.00089140006,-9.40000,-7.20000
,,,-0.00089120006,-9.40000,-7.20000
,,,-0.00089100006,-9.20000,-7.20000
,,,-0.00089080000,-9.00000,-7.20000
,,,-0.00089060000,-9.00000,-7.20000
,,,-0.00089040000,-8.80000,-7.20000
,,,-0.00089020000,-8.60000,-7.20000
,,,-0.00089000000,-8.60000,-7.20000
,,,-0.00088980000,-8.60000,-7.20000
,,,-0.00088960000,-8.20000,-7.20000
,,,-0.00088940000,-8.20000,-7.20000
,,,-0.00088920000,-8.00000,-7.20000
,,,-0.00088900000,-7.80000,-7.20000
,,,-0.00088880000,-7.80000,-7.20000
,,,-0.00088860000,-7.60000,-7.20000
,,,-0.00088840000,-7.60000,-7.20000
,,,-0.00088820000,-7.40000,-7.20000
,,,-0.00088800000,-7.20000,-7.20000
,,,-0.00088780000,-7.00000,-7.20000
,,,-0.00088760000,-7.00000,-7.20000
,,,-0.00088740000,-6.80000,-7.20000
,,,-0.00088720000,-6.60000,-7.40000
,,,-0.00088700000,-6.60000,-7.20000
,,,-0.00088680000,-6.20000,-7.20000
,,,-0.00088660000,-6.20000,-7.20000
,,,-0.00088640000,-6.20000,-7.20000
,,,-0.00088620000,-6.20000,-7.20000
,,,-0.00088600000,-6.00000,-7.40000
,,,-0.00088580000,-6.00000,-7.40000
,,,-0.00088560000,-5.80000,-7.20000
,,,-0.00088540000,-5.60000,-7.40000
,,,-0.00088520000,-5.60000,-7.40000
,,,-0.00088500000,-5.40000,-7.20000
,,,-0.00088480000,-5.20000,-7.20000
,,,-0.00088460000,-5.20000,-7.40000
,,,-0.00088440000,-5.00000,-7.20000
,,,-0.00088420006,-4.80000,-7.20000
,,,-0.00088400006,-4.80000,-7.20000
,,,-0.00088380006,-4.60000,-7.20000
,,,-0.00088360006,-4.40000,-7.40000
,,,-0.00088340006,-4.40000,-7.40000
,,,-0.00088320000,-4.20000,-7.40000
,,,-0.00088300000,-4.00000,-7.40000
,,,-0.00088280000,-4.00000,-7.40000
,,,-0.00088260000,-3.80000,-7.40000
,,,-0.00088240000,-3.60000,-7.40000
,,,-0.00088220000,-3.60000,-7.40000
,,,-0.00088200000,-3.20000,-7.40000
,,,-0.00088180000,-3.20000,-7.40000
,,,-0.00088160000,-3.20000,-7.40000
,,,-0.00088140000,-2.80000,-7.20000
,,,-0.00088120000,-2.80000,-7.40000
,,,-0.00088100000,-2.80000,-7.40000
,,,-0.00088080000,-2.60000,-7.40000
,,,-0.00088060000,-2.60000,-7.40000
,,,-0.00088040000,-2.40000,-7.40000
,,,-0.00088020000,-2.20000,-7.40000
,,,-0.00088000000,-2.20000,-7.40000
,,,-0.00087980000,-2.00000,-7.40000
