Source,CH1,CH2
Second,Volt,Volt
-0.00450000031,-0.08400,0.33600
-0.00449920031,-0.07800,0.34400
-0.00449840031,-0.08400,0.34400
-0.00449760031,-0.09200,0.33600
-0.00449680031,-0.08000,-0.32800
-0.00449600031,-0.08400,-0.33600
-0.00449520031,-0.08600,-0.33600
-0.00449440031,-0.08800,-0.34400
-0.00449360031,-0.08200,-0.33600
-0.00449280031,-0.07800,-0.33600
-0.00449200031,-0.08800,-0.33600
-0.00449120031,-0.08200,-0.33600
-0.00449040031,-0.08200,-0.33600
-0.00448960031,-0.07800,-0.33600
-0.00448880031,-0.08600,-0.33600
-0.00448800031,-0.08200,-0.33600
-0.00448720031,-0.07800,-0.33600
-0.00448640031,-0.07800,-0.33600
-0.00448560031,-0.08400,-0.33600
-0.00448480000,-0.08600,-0.33600
-0.00448400000,-0.07800,-0.33600
-0.00448320000,-0.07600,-0.33600
-0.00448240000,-0.07800,-0.33600
-0.00448160000,-0.08600,-0.33600
-0.00448080000,-0.07800,-0.33600
-0.00448000000,-0.07600,-0.33600
-0.00447920000,-0.07800,-0.33600
-0.00447840000,-0.07800,-0.33600
-0.00447760000,-0.08200,-0.33600
-0.00447680000,-0.07200,-0.33600
-0.00447600000,-0.07600,-0.33600
-0.00447520000,-0.08000,-0.33600
-0.00447440000,-0.08000,-0.33600
-0.00447360000,-0.07200,-0.33600
-0.00447280000,-0.06800,-0.33600
-0.00447200000,-0.07600,-0.33600
-0.00447120000,-0.08000,-0.33600
-0.00447040000,-0.07400,-0.33600
-0.00446960000,-0.06800,-0.33600
-0.00446880000,-0.07800,-0.33600
-0.00446800000,-0.07400,-0.33600
-0.00446720000,-0.07400,-0.33600
-0.00446640000,-0.06600,-0.33600
-0.00446560000,-0.07400,-0.33600
-0.00446480000,-0.07600,-0.33600
-0.00446400000,-0.06800,-0.32800
-0.00446320000,-0.06800,-0.33600
-0.00446240000,-0.07200,-0.33600
-0.00446160000,-0.07800,-0.32800
-0.00446080000,-0.06800,-0.32800
-0.00446000000,-0.06600,-0.33600
-0.00445920000,-0.06600,-0.32800
-0.00445840000,-0.07200,-0.33600
-0.00445760000,-0.07000,-0.33600
-0.00445680000,-0.06400,-0.33600
-0.00445600000,-0.06800,-0.33600
-0.00445520000,-0.07000,-0.33600
-0.00445440000,-0.07200,-0.32800
-0.00445360000,-0.06000,-0.33600
-0.00445280000,-0.06600,-0.33600
-0.00445200000,-0.06800,-0.33600
-0.00445120000,-0.06600,-0.33600
-0.00445040000,-0.06400,-0.33600
-0.00444960000,-0.06000,-0.33600
-0.00444880000,-0.07000,-0.33600
-0.00444800000,-0.06600,-0.33600
-0.00444720000,-0.06400,-0.33600
-0.00444640000,-0.06000,-0.33600
-0.00444560000,-0.06600,-0.32800
-0.00444480000,-0.06200,-0.33600
-0.00444400000,-0.06200,-0.33600
-0.00444319969,-0.06000,-0.33600
-0.00444239969,-0.06800,-0.33600
-0.00444159969,-0.06400,-0.32800
-0.00444079969,-0.06000,-0.33600
-0.00444000031,-0.06000,-0.33600
-0.00443920031,-0.06400,-0.33600
-0.00443840031,-0.06200,-0.33600
-0.00443760031,-0.05800,-0.33600
-0.00443680031,-0.06000,-0.32800
-0.00443600031,-0.06200,-0.32800
-0.00443520031,-0.06200,-0.33600
-0.00443440031,-0.05800,-0.33600
-0.00443360031,-0.05400,-0.33600
-0.00443280031,-0.06200,-0.33600
-0.00443200031,-0.06000,-0.33600
-0.00443120031,-0.05800,-0.33600
-0.00443040031,-0.05400,-0.33600
-0.00442960031,-0.06400,-0.32800
-0.00442880031,-0.06200,-0.33600
-0.00442800031,-0.05600,-0.33600
-0.00442720031,-0.05400,-0.33600
-0.00442640031,-0.05800,-0.32800
-0.00442560031,-0.06200,-0.33600
-0.00442480031,-0.04800,-0.33600
-0.00442400031,-0.05200,-0.33600
-0.00442320000,-0.05200,-0.33600
-0.00442240000,-0.06200,-0.33600
-0.00442160000,-0.05200,-0.33600
-0.00442080000,-0.05000,-0.33600
-0.00442000000,-0.05400,-0.33600
