Frequency [Hz]   COH [a.u.]   Phase [rad]
0.00000000       0.79926331       0.00000000
0.097656250       0.72243078     -0.064103775
0.19531250       0.72774301      -0.28994915
0.29296875       0.70475755      -0.47879666
0.39062500       0.70592158      -0.78490347
0.48828125       0.73318977      -0.86385489
0.58593750       0.66239986      -0.68224978
0.68359375       0.66314546      -0.75042069
0.78125000       0.63659505       -1.0501021
0.87890625       0.54373805       -1.2971752
0.97656250       0.45155296       -1.3731791
1.0742188       0.62845505       -1.1306919
1.1718750       0.56699421       -1.1697489
1.2695313       0.60245643       -1.1834348
1.3671875       0.63723588       -1.4326483
1.4648438       0.65669373       -1.4952418
1.5625000       0.67059005       -1.8401570
1.6601563       0.69258051       -1.6437610
1.7578125       0.65911234       -1.6057999
1.8554688       0.62917089       -1.7563213
1.9531250       0.59210748       -2.3158507
2.0507813       0.33490076       -2.1596482
2.1484375       0.34866236       -1.8194551
2.2460938       0.36608573       -2.3292186
2.3437500       0.38144626       -2.4996207
2.4414063       0.32852106       -2.5860112
2.5390625       0.43996096       -2.4732032
2.6367188       0.44066636       -2.0148194
2.7343750       0.47113174       -2.0240719
2.8320313       0.47843363       -2.0958164
2.9296875       0.56330126       -2.4665437
3.0273438       0.58515697       -2.6603749
3.1250000       0.43733788       -2.5797129
3.2226563       0.45394347       -2.4862199
3.3203125       0.49859838       -2.6245420
3.4179688       0.44162115       -2.6287918
3.5156250       0.36062804       -2.8549736
3.6132813       0.44218506       -3.0748549
3.7109375       0.42214373       -3.1350169
3.8085938       0.37755578       -3.0978305
3.9062500       0.40138285       -2.9964387
4.0039063       0.45127630        3.1360638
4.1015625       0.27088715        3.0417747
4.1992188       0.29161128       -2.9678679
4.2968750       0.41969641        3.0671554
4.3945313       0.48829233        2.9749238
4.4921875       0.47631591        2.6941679
4.5898438       0.39959238        2.9037125
4.6875000       0.40712896        2.6685488
4.7851563       0.38005865        2.4701612
4.8828125       0.30774070        2.2607522
4.9804688       0.25839220        2.2249229
5.0781250       0.27879338        2.3670475
5.1757813       0.31253312        2.5482085
5.2734375       0.19281899        2.2361233
5.3710938       0.17663912        2.2562709
5.4687500       0.41855690        2.3598740
5.5664063       0.51323755        2.1348953
5.6640625       0.34508129        2.3041313
5.7617188       0.23067687        2.8117640
5.8593750       0.28948669        2.6794546
5.9570313       0.19601824        2.3571336
6.0546875       0.18647649        1.9440266
6.1523438       0.30195670        1.6012110
6.2500000       0.19609834        2.2111592
6.3476563       0.19784494        1.1419411
6.4453125       0.24013617       0.99361980
6.5429688       0.27117874        1.1403389
6.6406250       0.24141067       0.69739920
6.7382813       0.24648435       0.72587556
6.8359375       0.15881090       0.66925436
6.9335938       0.33119789        1.2264016
7.0312500       0.32192730       0.71666086
7.1289063       0.30928334       0.35976189
7.2265625       0.40684649       0.47899637
7.3242188       0.33704198       0.64057541
7.4218750       0.31605452       0.22162834
7.5195313       0.28566152       0.33336774
7.6171875       0.32514552       0.73363090
7.7148438       0.26455370       0.25194961
7.8125000       0.22650126     0.0059794392
7.9101563       0.29179256       0.30438390
8.0078125       0.30066446     -0.020867189
8.1054688       0.43002622      -0.54972577
8.2031250       0.20467495     -0.060083844
8.3007813       0.26127119       0.11567870
8.3984375       0.27704074      0.028587047
8.4960938       0.23923388      -0.41746923
8.5937500       0.22539293      -0.19372074
8.6914063       0.37883684      -0.17008241
8.7890625       0.37979105      -0.28901052
8.8867188      0.065226974      -0.42096290
8.9843750      0.093836861      -0.71262407
9.0820313       0.22475006      -0.14796087
9.1796875       0.24322130       0.17345518
9.2773438       0.19610884      -0.20318584
9.3750000       0.27319769      0.067251526
9.4726563       0.37370283      0.035682365
9.5703125       0.40014016      -0.19143750
9.6679688       0.27231039     -0.092304066
9.7656250       0.23388012      -0.17500277
9.8632813       0.22335214    -0.0056313123
9.9609375       0.31322446       0.20451631
10.058594       0.27346178      -0.20225307
10.156250       0.23443678      0.047339644
10.253906       0.29858928      -0.22309014
10.351563       0.33812282      -0.10579265
10.449219       0.44731076      -0.17991138
